gene	conMean	treatMean	logFC	pValue	fdr
AL035461.2	0.7272440640625	1.72236562409554	1.24387990994816	2.10817786271692e-06	1.11133686469948e-05
LINC00205	0.81628581459375	1.75102065260828	1.10104980839923	4.3157399990043e-08	3.59057824406956e-07
AC008105.2	0.1812355653125	0.367544559429936	1.02005307151764	0.000154551465667878	0.000470190155502027
AC009093.2	0.045704835625	0.228973207936306	2.32476008173466	2.28874729771928e-13	9.41804384122022e-12
AC012676.1	0.16392078178125	0.36520560266242	1.15571012797779	3.64788779773051e-08	3.07680467353408e-07
AC079907.1	0.12941956796875	0.32487061422293	1.32780948603643	3.00186902968886e-06	1.54906574823185e-05
AC015878.1	3.30771887990625	0.274205594984076	-3.59250671257776	1.24688440401002e-05	5.18686947654508e-05
AC145098.1	0.21574912678125	0.468863737292994	1.11981398264111	9.85218497527618e-06	4.28797943941736e-05
AL136018.1	0.28380572175	1.07862854676115	1.92622254084796	7.6661991027876e-07	4.48601028837763e-06
AC002398.2	1.2115315431875	0.107894763254777	-3.48913521753192	2.54397545858753e-09	2.93517168476656e-08
AC012073.1	0.37445193159375	1.34179311546497	1.84130980969946	6.9747030323666e-16	6.56158600660335e-14
SNHG25	1.1848462100625	2.40923265969745	1.02387390818933	0.000712363472793472	0.00177800107597228
AC026401.3	5.26876837959375	15.5091985188185	1.55758646912223	1.71672090353467e-14	9.54340756828592e-13
LANCL1-AS1	1.34311504759375	0.248918125146497	-2.43183969730454	0.0233220866946779	0.0381322353310041
DBH-AS1	0.1396837334375	0.35728580860828	1.35491458657113	0.023558345131068	0.0383655745576578
MBNL1-AS1	0.84799027334375	0.389663792264331	-1.12181783495803	2.31004704555495e-06	1.2073451011597e-05
AC006942.1	0.6028392585	0.230904350047771	-1.38447801958878	0.000353355887524203	0.0009711331470609
AL355472.3	0.05188882371875	0.226108460503185	2.12351923918388	0.000666266043341959	0.00168356068389921
AC027228.2	0.153612590625	0.384526216124204	1.32378549197696	1.14673537196998e-08	1.07881335378407e-07
SLBP-DT	0.12866677440625	0.43220365327707	1.74807171206289	4.45351564327283e-08	3.68016867008289e-07
AL157871.2	0.06417111675	0.473248051493631	2.8826005705977	2.41296921832818e-08	2.10790096715383e-07
LINC01929	0.01183074334375	0.469840827697452	5.31155945610079	9.37291673792083e-17	1.63758245292531e-14
AC009093.1	0.06346384709375	0.330587817025478	2.38102667547983	3.54687508828399e-12	9.43006137602461e-11
FEZF1-AS1	0.0569375433125	0.305161102799363	2.42211893003253	0.00932794949056327	0.0172067605233166
DDX11-AS1	0.07318502065625	0.251114538955414	1.77872526346488	1.60493640612207e-08	1.4758174621709e-07
SNHG1	5.0389981641875	10.4938226344013	1.05833147518775	3.6310129297853e-06	1.77629152525097e-05
HOTAIR	0.01915470425	0.233144314098726	3.60545259006586	9.62810938652691e-14	4.36117695545274e-12
AC018716.1	0.08189527746875	0.330893380133758	2.01451426366225	3.89863043822087e-06	1.86981373566436e-05
LINC01730	0.12590159028125	0.301408308305733	1.25942267924191	0.000845117078255647	0.00207545820623827
AC019080.4	0.08026866753125	0.811967107926752	3.33851243226828	0.000384249276331174	0.00103968332954209
ST3GAL3-AS1	1.55008747328125	0.184500621359873	-3.07065205069064	0.000554629341914528	0.00144321635140738
LINC00992	0.528374813625	0.24514357338535	-1.10793475753683	5.00335258299373e-08	4.07940013933422e-07
AC073957.1	0.06915568690625	1.1346962047707	4.03631438846127	1.00722218308368e-06	5.75622770986608e-06
AL162311.3	0.09013055815625	0.276439192426752	1.61687393958758	6.85490252546872e-10	9.63625952718189e-09
AC018926.2	0.1495419305	0.30060094788535	1.00729949587796	0.000375749302323912	0.00102347749831213
AL355385.1	0.096089641375	0.261851141691083	1.44629407552072	1.88684202003514e-05	7.34906939650629e-05
TENM3-AS1	0.091045381375	0.459359817305732	2.33496692392623	2.91987281220579e-10	4.52025879661732e-09
